1|4|4|1|02.07.2024. - 04.07.2024.|05.04.2024. - 24.04.2024.|Pending|
2|1|3|1|16.04.2024. - 18.04.2024.|05.04.2024. - 02.05.2024.|Pending|
3|2|2|1|08.04.2024. - 10.04.2024.|06.04.2024. - 04.05.2024.|Pending|
4|4|4|1|02.07.2024. - 04.07.2024.|05.04.2024. - 24.04.2024.|Accepted|
5|1|3|1|16.04.2024. - 18.04.2024.|05.04.2024. - 02.05.2024.|Rejected|
6|2|2|1|08.04.2024. - 10.04.2024.|06.04.2024. - 04.05.2024.|TimedOut|
7|1|9|1|07.04.2024. - 09.04.2024.|04.04.2024. - 19.04.2024.|Pending|
8|4|4|1|02.07.2024. - 04.07.2024.|04.04.2024. - 17.04.2024.|Pending|
9|4|4|1|02.07.2024. - 04.07.2024.|06.04.2024. - 17.04.2024.|Pending|
10|1|9|1|07.04.2024. - 09.04.2024.|20.06.2024. - 23.06.2024.|Pending|
